DateTime:20260309135355
Conditions: voltage:0.01V Speed:MEDIUM Range:AUTO
Frequency:From 100.00Hz to 1000.00Hz Setp 10.00Hz
Frequency, Z( ohm), TD(DEG)
100, 1544230, -112.716
110, 1550080, -106.714
120, 2273460, -110.165
130, 1054880, -83.3972
140, 913997, -71.4621
150, 767427, -89.229
160, 652798, -77.0114
170, 671316, -88.2349
180, 1198500, -148.379
190, 576177, -73.3474
200, 1085560, -86.8387
210, 1152300, -115.276
220, 858680, -105.936
230, 825399, -95.454
240, 769949, -87.8647
250, 757227, -94.5661
260, 633469, -95.5545
270, 542188, -79.5077
280, 625824, -97.4086
290, 571779, -91.5071
300, 569205, -95.2877
310, 507631, -87.0286
320, 535383, -89.1695
330, 491535, -87.7823
340, 513647, -96.118
350, 443028, -86.4426
360, 453777, -90.4901
370, 415438, -83.3269
380, 469926, -97.3422
390, 384519, -83.9739
400, 404695, -89.8537
410, 392472, -90.03
420, 386009, -85.3057
430, 387973, -90.2613
440, 357916, -84.913
450, 377362, -92.08
460, 346914, -89.502
470, 361068, -90.1126
480, 353311, -87.7484
490, 329547, -87.612
500, 332227, -90.4034
510, 327952, -90.654
520, 303826, -87.762
530, 326016, -90.6953
540, 310434, -89.0639
550, 292441, -89.9324
560, 307756, -92.7034
570, 278932, -87.7344
580, 275806, -89.3205
590, 295575, -92.5913
600, 275281, -90.7804
610, 274465, -89.5962
620, 259777, -89.2377
630, 270582, -90.9635
640, 247897, -88.7141
650, 250842, -89.5932
660, 249325, -89.244
670, 241071, -87.4679
680, 246340, -90.8552
690, 244727, -91.5359
700, 238346, -90.5591
710, 230385, -88.4406
720, 227795, -88.9427
730, 229492, -90.7537
740, 226776, -90.2698
750, 216740, -87.8649
760, 215690, -89.5355
770, 215211, -91.0336
780, 214704, -89.5493
790, 206139, -87.3563
800, 205126, -89.7979
810, 206169, -89.8922
820, 204515, -91.244
830, 194216, -89.155
840, 191943, -88.7021
850, 196058, -91.0245
860, 191161, -89.5532
870, 186837, -89.0166
880, 186907, -90.1938
890, 189392, -90.515
900, 182731, -89.6365
910, 183082, -90.5089
920, 177819, -88.972
930, 176900, -89.6843
940, 177532, -90.4504
950, 174432, -89.8569
960, 168769, -88.6189
970, 170449, -89.8696
980, 171603, -90.2864
990, 167864, -89.8989
1000, 166783, -90.0545
 
